Product_ID,Specs
73,"Canon  D30 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
74,"Canon  SX700 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
75,"Canon  Rebel T5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
76,"Canon  N100 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
77,"Canon  SX600 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
78,"Canon  ELPH 340 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
79,"Canon  SX510 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
80,"Canon  SX170 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
81,"Canon  G16 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
82,"Canon  S120 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
83,"Canon  70D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm (1.06"") and a surface area of 337.50 mm²."
84,"Canon  Rebel SL1 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
85,"Canon  Rebel T5i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
86,"Canon  SX280 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
87,"Canon  SX270 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
88,"Canon  ELPH 330 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
89,"Canon  ELPH 115 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
90,"Canon  A2500 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
91,"Canon  A3500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
92,"Canon  A2600 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
93,"Canon  ELPH 130 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
94,"Canon  A1400 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
95,"Canon  N comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
96,"Canon  6D comes with a  35.8 x 23.9 mm CMOS sensor, which has a diagonal of  43.04 mm (1.69"") and a surface area of 855.62 mm²."
97,"Canon  G15 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
98,"Canon  SX50 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
99,"Canon  SX160 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
100,"Canon  SX500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
101,"Canon  M comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
102,"Canon  ELPH 120 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
103,"Canon  SX240 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
104,"Canon  Elph 530 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
105,"Canon  5D Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
106,"Canon  A2400 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
107,"Canon  ELPH 110 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
108,"Canon  ELPH 320 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
109,"Canon  A2300 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
110,"Canon  Rebel T4i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
