ID,Attribute,Value
1384,Focal length (equiv.),30–150 mm
1384,Max aperture,F3.3–5.2
1384,Screen size,2.7″
1384,Screen dots,"230,000"
1384,Max shutter speed,1/1600 sec
1384,Storage types,"Memory Stick Duo / Pro Duo, Internal"
1384,USB,USB 2.0 (480 Mbit/sec)
1384,Weight (inc. batteries),173 g (0.38 lb / 6.10 oz)
1384,Dimensions,94 x 58 x 24 mm (3.69 x 2.28 x 0.94″)
1385,Body type,Compact
1385,Max resolution,3648 x 2736
1385,Effective pixels,10 megapixels
1385,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1385,Sensor type,CCD
1385,ISO,"Auto, 100, 200, 400, 800, 1600, 3200"
1385,Focal length (equiv.),28–140 mm
1385,Max aperture,F3.3–5.2
1385,Screen size,2.7″
1385,Screen dots,"230,000"
1385,Max shutter speed,1/1600 sec
1385,Storage types,"Memory Stick Duo / Pro Duo, Internal"
1385,USB,USB 2.0 (480 Mbit/sec)
1385,Weight (inc. batteries),173 g (0.38 lb / 6.10 oz)
1385,Dimensions,94 x 58 x 24 mm (3.69 x 2.28 x 0.94″)
1386,Body type,Compact
1386,Max resolution,3264 x 2448
1386,Effective pixels,8 megapixels
1386,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1386,Sensor type,CCD
1386,ISO,"Auto, 100, 200, 400, 800, 1600, 3200"
1386,Focal length (equiv.),38–380 mm
1386,Max aperture,F3.5–8
1386,Screen size,3″
1386,Screen dots,"230,000"
1386,Max shutter speed,1/2000 sec
1386,Storage types,"Memory Stick Duo / Pro Duo, Internal"
1386,USB,USB 2.0 (480 Mbit/sec)
1386,Weight (inc. batteries),296 g (0.65 lb / 10.44 oz)
1386,Dimensions,106 x 69 x 49 mm (4.17 x 2.7 x 1.93″)
1387,Body type,Compact
1387,Max resolution,3264 x 2448
1387,Effective pixels,8 megapixels
1387,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1387,Sensor type,CCD
1387,ISO,"Auto (100-1600), 100, 200, 400, 800, 1600"
1387,Focal length (equiv.),38–113 mm
1387,Max aperture,F2.8–5.2
1387,Screen size,2.4″
1387,Screen dots,"110,000"
1387,Max shutter speed,1/2000 sec
1387,Storage types,"SD/MMC/SDHC card, Internal"
1387,USB,USB 2.0 (480 Mbit/sec)
1387,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1387,Dimensions,97 x 60 x 22 mm (3.82 x 2.36 x 0.87″)
1388,Body type,Ultracompact
1388,Max resolution,3264 x 2448
1388,Effective pixels,8 megapixels
1388,Sensor size,"1/2.35"" (5.76 x 4.32 mm)"
1388,Sensor type,CCD
1388,ISO,"Auto, 64, 100, 200, 400, 800, 1600, 3200, 6400"
1388,Focal length (equiv.),36–180 mm
1388,Max aperture,F3.5–5.6
1388,Screen size,2.5″
1388,Screen dots,"230,000"
1388,Max shutter speed,1/2000 sec
1388,Storage types,"SD/MMC/SDHC card, Internal"
1388,USB,USB 2.0 (480 Mbit/sec)
1388,Weight (inc. batteries),130 g (0.29 lb / 4.59 oz)
1388,Dimensions,95 x 55 x 24 mm (3.74 x 2.17 x 0.94″)
1389,Body type,Ultracompact
1389,Max resolution,4000 x 3000
1389,Effective pixels,12 megapixels
1389,Sensor size,"1/1.7"" (7.44 x 5.58 mm)"
1389,Sensor type,CCD
1389,ISO,"50, 100, 200, 400, 800, 1600, 3200"
1389,Focal length (equiv.),38–114 mm
1389,Max aperture,F2.8
1389,Screen size,2.5″
1389,Screen dots,"230,000"
1389,Max shutter speed,1/2000 sec
1389,Storage types,"SD/MMC/SDHC card, Internal"
1389,USB,USB 1.0 (1.5 Mbit/sec)
1389,Weight (inc. batteries),140 g (0.31 lb / 4.94 oz)
1389,Dimensions,87 x 54 x 21 mm (3.43 x 2.13 x 0.83″)
1390,Body type,Compact SLR
1390,Max resolution,3872 x 2592
1390,Effective pixels,10 megapixels
1390,Sensor size,APS-C (23.5 x 15.7 mm)
1390,Sensor type,CCD
1390,ISO,"Auto, 100 -1600 in 1EV, 1/2EV or 1/3EV stops"
1390,Lens mount,Pentax KAF2
1390,Focal length mult.,1.5×
1390,Articulated LCD,No
1390,Screen size,2.7″
1390,Screen dots,"230,000"
1390,Max shutter speed,1/4000 sec
1390,Storage types,SD/MMC/SDHC card
1390,USB,USB 2.0 (480 Mbit/sec)
1390,Weight (inc. batteries),690 g (1.52 lb / 24.34 oz)
1390,Dimensions,134 x 95 x 74 mm (5.28 x 3.74 x 2.91″)
1390,GPS,None
1391,Body type,Mid-size SLR
1391,Max resolution,4672 x 3104
1391,Effective pixels,15 megapixels
1391,Sensor size,APS-C (23.4 x 15.6 mm)
1391,Sensor type,CMOS
1391,ISO,"Auto, 100 - 3200 in 1EV, 1/2 EV or 1/3 EV stops, ISO 6400 as option"
1391,Lens mount,Pentax KAF2
1391,Focal length mult.,1.5×
1391,Articulated LCD,No
1391,Screen size,2.7″
1391,Screen dots,"230,000"
1391,Max shutter speed,1/4000 sec
1391,Storage types,SD/MMC/SDHC card
1391,USB,USB 2.0 (480 Mbit/sec)
1391,Weight (inc. batteries),800 g (1.76 lb / 28.22 oz)
1391,Dimensions,142 x 101 x 70 mm (5.59 x 3.98 x 2.76″)
1391,GPS,None
1392,Body type,Compact
1392,Max resolution,3264 x 2448
1392,Effective pixels,8 megapixels
1392,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1392,Sensor type,CCD
1392,ISO,"Auto (64 - 640), 80, 100, 200, 400, 800, 1600, 3200** in reduced pixel mode"
1392,Focal length (equiv.),37–185 mm
1392,Max aperture,F3.2–4.8
1392,Screen size,2.5″
1392,Screen dots,"115,000"
1392,Max shutter speed,1/2000 sec
1392,Storage types,"xD Picture Card, Internal"
1392,USB,USB 2.0 (480 Mbit/sec)
1392,Weight (inc. batteries),190 g (0.42 lb / 6.70 oz)
1392,Dimensions,93 x 62 x 31 mm (3.66 x 2.43 x 1.2″)
1393,Body type,Compact
1393,Max resolution,3264 x 2448
1393,Effective pixels,8 megapixels
1393,Sensor size,"1/2.35"" (5.76 x 4.32 mm)"
1393,Sensor type,CCD
1393,ISO,"Auto (64 - 1600), 64, 100, 200, 400, 800, 1600, 3200** in reuced pixel mode"
1393,Focal length (equiv.),36–180 mm
1393,Max aperture,F3.5–5.6
1393,Screen size,2.7″
1393,Screen dots,"230,000"
1393,Max shutter speed,1/2000 sec
1393,Storage types,"xD Picture Card, Internal"
1393,USB,USB 2.0 (480 Mbit/sec)
1393,Weight (inc. batteries),156 g (0.34 lb / 5.50 oz)
1393,Dimensions,97 x 58 x 23 mm (3.82 x 2.28 x 0.91″)
1394,Body type,Compact
1394,Max resolution,3264 x 2448
1394,Effective pixels,8 megapixels
1394,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1394,Sensor type,CCD
1394,ISO,"Auto (64 - 640), 80, 100, 200, 400, 640"
1394,Focal length (equiv.),28–112 mm
1394,Max aperture,F2.7–5.4
1394,Screen size,3″
1394,Screen dots,"230,000"
1394,Max shutter speed,1/2000 sec
1394,Storage types,"xD Picture Card, Internal"
1394,USB,USB 2.0 (480 Mbit/sec)
1394,Weight (inc. batteries),178 g (0.39 lb / 6.28 oz)
1394,Dimensions,98 x 56 x 27 mm (3.86 x 2.2 x 1.06″)
1395,Body type,Ultracompact
1395,Max resolution,3248 x 2436
1395,Effective pixels,8 megapixels
1395,Sensor size,"1/2.35"" (5.76 x 4.32 mm)"
1395,Sensor type,CCD
1395,ISO,"Auto (64 - 1600), 100, 200, 400, 800, 1600"
1395,Focal length (equiv.),36–180 mm
1395,Max aperture,F3.5–5
1395,Screen size,2.7″
1395,Screen dots,"230,000"
1395,Max shutter speed,1/2000 sec
1395,Storage types,"xD Picture Card, Internal"
1395,USB,USB 2.0 (480 Mbit/sec)
1395,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1395,Dimensions,96 x 57 x 24 mm (3.8 x 2.22 x 0.94″)
1396,Body type,Compact
1396,Max resolution,3248 x 2436
1396,Effective pixels,8 megapixels
1396,Sensor size,"1/2.35"" (5.76 x 4.32 mm)"
1396,Sensor type,CCD
1396,ISO,"Auto (80 - 1600), 80, 100, 200, 400, 800, 1600"
1396,Focal length (equiv.),38–114 mm
1396,Max aperture,F3.5–5
1396,Articulated LCD,No
1396,Screen size,2.5″
1396,Screen dots,"230,000"
1396,Max shutter speed,1/1000 sec
1396,Storage types,"xD Picture Card, Internal"
1396,USB,USB 2.0 (480 Mbit/sec)
1396,Weight (inc. batteries),176 g (0.39 lb / 6.21 oz)
1396,Dimensions,94 x 61 x 21 mm (3.69 x 2.4 x 0.84″)
1396,GPS,None
1397,Body type,Ultracompact
1397,Max resolution,3648 x 2736
1397,Effective pixels,10 megapixels
1397,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1397,Sensor type,CCD
1397,ISO,"Auto (80 - 1600), 80, 100, 200, 400, 800, 1600"
1397,Focal length (equiv.),37–260 mm
1397,Max aperture,F3.5–5.3
1397,Screen size,2.7″
1397,Screen dots,"230,000"
1397,Max shutter speed,1/2000 sec
1397,Storage types,"xD Picture Card, Internal"
1397,USB,USB 2.0 (480 Mbit/sec)
1397,Weight (inc. batteries),175 g (0.39 lb / 6.17 oz)
1397,Dimensions,99 x 56 x 25 mm (3.9 x 2.22 x 0.99″)
1398,Body type,Ultracompact
1398,Max resolution,3648 x 2736
1398,Effective pixels,10 megapixels
1398,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1398,Sensor type,CCD
1398,ISO,"Auto (80 - 1600), 80, 100, 200, 400, 800, 1600"
1398,Focal length (equiv.),37–260 mm
1398,Max aperture,F3.5–5.3
1398,Screen size,2.7″
1398,Screen dots,"230,000"
1398,Max shutter speed,1/2000 sec
1398,Storage types,"xD Picture Card, Internal"
1398,USB,USB 2.0 (480 Mbit/sec)
1398,Weight (inc. batteries),175 g (0.39 lb / 6.17 oz)
1398,Dimensions,99 x 56 x 25 mm (3.9 x 2.22 x 0.99″)
1399,Body type,Compact
1399,Max resolution,3648 x 2736
1399,Effective pixels,10 megapixels
1399,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1399,Sensor type,CCD
1399,ISO,"Auto (80 - 1600), 80, 100, 200, 400, 800, 1600"
1399,Focal length (equiv.),28–102 mm
1399,Max aperture,F3.5–5.1
1399,Screen size,2.7″
1399,Screen dots,"230,000"
1399,Max shutter speed,1/2000 sec
1399,Storage types,"xD Picture Card, Internal"
1399,USB,USB 2.0 (480 Mbit/sec)
1399,Weight (inc. batteries),203 g (0.45 lb / 7.16 oz)
1399,Dimensions,93 x 61 x 21 mm (3.67 x 2.42 x 0.84″)
1400,Body type,Compact
1400,Max resolution,3648 x 2736
1400,Effective pixels,10 megapixels
1400,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1400,Sensor type,CCD
1400,ISO,"Auto, 50, 100, 200, 400, 800, 1600, 3200, 6400** in reduced pixel mode"
1400,Focal length (equiv.),26–520 mm
1400,Max aperture,F2.8–4.5
1400,Articulated LCD,No
1400,Screen size,2.7″
1400,Screen dots,"230,000"
1400,Max shutter speed,1/2000 sec
1400,Storage types,"xD Picture Card, Internal"
1400,USB,USB 2.0 (480 Mbit/sec)
1400,Weight (inc. batteries),405 g (0.89 lb / 14.29 oz)
1400,Dimensions,116 x 79 x 78 mm (4.57 x 3.11 x 3.07″)
1400,GPS,None
1401,Body type,Compact
1401,Max resolution,3264 x 2448
1401,Effective pixels,8 megapixels
1401,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1401,Sensor type,CCD
1401,ISO,"Auto, Hi Auto (1600-6400), 100, 200, 400, 800, 1600"
1401,Focal length (equiv.),33–100 mm
1401,Max aperture,F2.8–5.1
1401,Articulated LCD,No
1401,Screen size,2.5″
1401,Screen dots,"230,000"
1401,Max shutter speed,1/2000 sec
1401,Storage types,"SD/MMC/SDHC card, Internal"
1401,USB,USB 1.1 (12 Mbit/sec)
1401,Weight (inc. batteries),179 g (0.39 lb / 6.31 oz)
1401,Dimensions,96 x 62 x 31 mm (3.77 x 2.44 x 1.23″)
1401,GPS,None
1403,Body type,Ultracompact
1403,Max resolution,3072 x 2304
1403,Effective pixels,7 megapixels
1403,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1403,Sensor type,CCD
1403,ISO,"Auto (64-320), 64, 100, 200, 400, 800, 1600"
1403,Focal length (equiv.),34–102 mm
1403,Max aperture,F2.8–5.1
1403,Screen size,2.7″
1403,Screen dots,"230,000"
1403,Max shutter speed,1/1400 sec
1403,Storage types,"SD/SDHC/MMC card, Internal"
1403,USB,USB 2.0 (480 Mbit/sec)
1403,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1403,Dimensions,91 x 57 x 21 mm (3.58 x 2.24 x 0.83″)
1404,Body type,Ultracompact
1404,Max resolution,3280 x 2460
1404,Effective pixels,8 megapixels
1404,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1404,Sensor type,CCD
1404,ISO,"Auto (64-320), 64, 100, 200, 400, 800, 1600"
1404,Focal length (equiv.),34–102 mm
1404,Max aperture,F2.8–5.1
1404,Screen size,2.7″
1404,Screen dots,"230,000"
1404,Max shutter speed,1/1400 sec
1404,Storage types,"SD/SDHC/MMC card, Internal"
1404,USB,USB 2.0 (480 Mbit/sec)
1404,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1404,Dimensions,91 x 57 x 21 mm (3.58 x 2.24 x 0.83″)
1405,Body type,Ultracompact
1405,Max resolution,3296 x 2472
1405,Effective pixels,8 megapixels
1405,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1405,Sensor type,CCD
1405,ISO,"Auto (80-400), 80, 100, 200, 400, 800, 1600"
1405,Focal length (equiv.),34–102 mm
1405,Max aperture,F2.9–5.2
1405,Screen size,2.7″
1405,Screen dots,"230,000"
1405,Max shutter speed,1/2000 sec
1405,Storage types,"SD/SDHC/MMC card, Internal"
1405,USB,USB 2.0 (480 Mbit/sec)
1405,Weight (inc. batteries),157 g (0.35 lb / 5.54 oz)
1405,Dimensions,92 x 57 x 23 mm (3.62 x 2.24 x 0.91″)
1406,Body type,Ultracompact
1406,Max resolution,3648 x 2736
1406,Effective pixels,10 megapixels
1406,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1406,Sensor type,CCD
1406,ISO,"Auto, 64, 100, 200, 400, 800, 1600, 3200, (6400 at 3.1 MP)"
1406,Focal length (equiv.),35–105 mm
1406,Max aperture,F3.1–5.7
1406,Screen size,3″
1406,Screen dots,"230,000"
1406,Max shutter speed,1/1448 sec
1406,Storage types,"SD/SDHC/MMC card, Internal"
1406,USB,USB 2.0 (480 Mbit/sec)
1406,Weight (inc. batteries),166 g (0.37 lb / 5.86 oz)
1406,Dimensions,94 x 58 x 21 mm (3.7 x 2.28 x 0.83″)
1407,Body type,Ultracompact
1407,Max resolution,3648 x 2736
1407,Effective pixels,11 megapixels
1407,Sensor size,"1/1.63"" (8.07 x 5.56 mm)"
1407,Sensor type,CCD
1407,ISO,"Auto, 64, 100, 200, 400, 800, 1600, 3200, (6400, 8000 at 3.1 MP)"
1407,Focal length (equiv.),37–111 mm
1407,Max aperture,F3.1–5.7
1407,Screen size,3″
1407,Screen dots,"230,000"
1407,Max shutter speed,1/1164 sec
1407,Storage types,"SD/SDHC/MMC card, Internal"
1407,USB,USB 2.0 (480 Mbit/sec)
1407,Weight (inc. batteries),188 g (0.41 lb / 6.63 oz)
1407,Dimensions,93 x 58 x 21 mm (3.66 x 2.28 x 0.83″)
1408,Body type,Ultracompact
1408,Max resolution,4000 x 3000
1408,Effective pixels,12 megapixels
1408,Sensor size,"1/1.72"" (7.4 x 5.55 mm)"
1408,Sensor type,CCD
1408,ISO,"Auto, 64, 100, 200, 400, 800, 1600, 3200, (6400 at 3.1 MP)"
1408,Focal length (equiv.),37–111 mm
1408,Max aperture,F3.1–5.7
1408,Screen size,3″
1408,Screen dots,"230,000"
1408,Max shutter speed,1/1164 sec
1408,Storage types,"SD/SDHC/MMC card, Internal"
1408,USB,USB 2.0 (480 Mbit/sec)
1408,Weight (inc. batteries),188 g (0.41 lb / 6.63 oz)
1408,Dimensions,93 x 58 x 21 mm (3.66 x 2.28 x 0.83″)
1409,Body type,Compact
1409,Max resolution,3648 x 2736
1409,Effective pixels,10 megapixels
1409,Sensor size,"1/1.63"" (8.07 x 5.56 mm)"
1409,Sensor type,CCD
1409,ISO,"Auto, 80, 100, 200, 400, 800, 1600, 3200, (6400, 8000 at 3.1 MP)"
1409,Focal length (equiv.),35–175 mm
1409,Max aperture,F2.8–5.1
1409,Articulated LCD,No
1409,Screen size,2.5″
1409,Screen dots,"230,000"
1409,Max shutter speed,1/2000 sec
1409,Storage types,"SD/SDHC/MMC card, Internal"
1409,USB,USB 2.0 (480 Mbit/sec)
1409,Weight (inc. batteries),214 g (0.47 lb / 7.55 oz)
1409,Dimensions,90 x 65 x 39 mm (3.54 x 2.56 x 1.54″)
1409,GPS,None
1410,Body type,Compact
1410,Max resolution,4000 x 3000
1410,Effective pixels,12 megapixels
1410,Sensor size,"1/1.72"" (7.4 x 5.55 mm)"
1410,Sensor type,CCD
1410,ISO,"Auto, 80, 100, 200, 400, 800, 1600, (3200 at 3.1 MP)"
1410,Focal length (equiv.),35–175 mm
1410,Max aperture,F2.8–5.1
1410,Screen size,2.5″
1410,Screen dots,"115,000"
1410,Max shutter speed,1/2000 sec
1410,Storage types,"SD/SDHC/MMC card, Internal"
1410,USB,USB 2.0 (480 Mbit/sec)
1410,Weight (inc. batteries),211 g (0.47 lb / 7.44 oz)
1410,Dimensions,90 x 65 x 32 mm (3.54 x 2.56 x 1.26″)
1411,Body type,SLR-like (bridge)
1411,Max resolution,3264 x 2448
1411,Effective pixels,8 megapixels
1411,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1411,Sensor type,CCD
1411,ISO,"Auto, 64, 100, 200, 400, 800, 1600, (3200 at 2.2 MP)"
1411,Focal length (equiv.),36–432 mm
1411,Max aperture,F2.8–4.8
1411,Articulated LCD,No
1411,Screen size,2.5″
1411,Screen dots,"230,000"
1411,Max shutter speed,1/3200 sec
1411,Storage types,"SD/SDHC/MMC card, Internal"
1411,USB,USB 2.0 (480 Mbit/sec)
1411,Weight (inc. batteries),340 g (0.75 lb / 11.99 oz)
1411,Dimensions,104 x 66 x 71 mm (4.09 x 2.6 x 2.8″)
1411,GPS,None
1412,Body type,Ultracompact
1412,Max resolution,3648 x 2736
1412,Effective pixels,10 megapixels
1412,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1412,Sensor type,CCD
1412,ISO,"Auto, 50, 100, 200, 400, 800, 1600"
1412,Focal length (equiv.),36–108 mm
1412,Max aperture,F2.8–5.3
1412,Screen size,2.7″
1412,Screen dots,"230,000"
1412,Max shutter speed,1/2000 sec
1412,Format,H.264
1412,Storage types,"SD/MMC card, Internal"
1412,USB,USB 2.0 (480 Mbit/sec)
1412,Weight (inc. batteries),113 g (0.25 lb / 3.99 oz)
1412,Dimensions,94 x 55 x 15 mm (3.7 x 2.17 x 0.59″)
1413,Body type,Compact
1413,Max resolution,3264 x 2448
1413,Effective pixels,8 megapixels
1413,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1413,Sensor type,CCD
1413,ISO,"Auto, 64, 100, 200, 400, 800, 1600"
1413,Focal length (equiv.),38–114 mm
1413,Max aperture,F3.1–5.3
1413,Screen size,2.6″
1413,Screen dots,"115,000"
1413,Max shutter speed,1/2000 sec
1413,Format,H.264
1413,Storage types,"SD/MMC/SDHC card, Internal"
1413,USB,USB 2.0 (480 Mbit/sec)
1413,Weight (inc. batteries),100 g (0.22 lb / 3.53 oz)
1413,Dimensions,90 x 52 x 19 mm (3.54 x 2.05 x 0.75″)
1414,Body type,Compact
1414,Max resolution,3648 x 2736
1414,Effective pixels,10 megapixels
1414,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1414,Sensor type,CCD
1414,ISO,"Auto, 64, 100, 200, 400, 800, 1600"
1414,Focal length (equiv.),28–112 mm
1414,Max aperture,F2.6–5.8
1414,Screen size,2.7″
1414,Screen dots,"230,000"
1414,Format,H.264
1414,Storage types,"SD/MMC/SDHC card, Internal"
1414,USB,USB 2.0 (480 Mbit/sec)
1414,Weight (inc. batteries),111 g (0.24 lb / 3.92 oz)
1414,Dimensions,93 x 55 x 21 mm (3.66 x 2.17 x 0.83″)
1415,Body type,Compact
1415,Max resolution,3648 x 2736
1415,Effective pixels,10 megapixels
1415,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1415,Sensor type,CCD
1415,ISO,"Auto, 64, 100, 200, 400, 800, 1600"
1415,Focal length (equiv.),28–112 mm
1415,Max aperture,F2.6–5.8
1415,Screen size,2.7″
1415,Screen dots,"230,000"
1415,Format,H.264
1415,Storage types,"SD/MMC/SDHC card, Internal"
1415,USB,USB 2.0 (480 Mbit/sec)
1415,Weight (inc. batteries),119 g (0.26 lb / 4.20 oz)
1415,Dimensions,93 x 55 x 23 mm (3.66 x 2.17 x 0.91″)
1416,Body type,Ultracompact
1416,Max resolution,3648 x 2736
1416,Effective pixels,10 megapixels
1416,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1416,Sensor type,CCD
1416,ISO,"Auto, 80, 100, 200, 400, 800, 1600 (3200 upto 3M)"
1416,Focal length (equiv.),38–114 mm
1416,Max aperture,F3.5–4
1416,Screen size,3″
1416,Screen dots,"230,000"
1416,Max shutter speed,1/1500 sec
1416,Storage types,"SD/MMC/SDHC card, Internal"
1416,USB,USB 2.0 (480 Mbit/sec)
1416,Weight (inc. batteries),140 g (0.31 lb / 4.94 oz)
1416,Dimensions,95 x 60 x 21 mm (3.74 x 2.36 x 0.83″)
1417,Body type,Ultracompact
1417,Max resolution,3264 x 2448
1417,Effective pixels,8 megapixels
1417,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1417,Sensor type,CCD
1417,ISO,"Auto, 50, 100, 200, 400, 800, 1600 (3200 upto 3M)"
1417,Focal length (equiv.),38–114 mm
1417,Max aperture,F3.5–4.5
1417,Screen size,3″
1417,Screen dots,"230,000"
1417,Max shutter speed,1/2000 sec
1417,Storage types,"SD/SDHC card, Internal"
1417,USB,USB 2.0 (480 Mbit/sec)
1417,Weight (inc. batteries),200 g (0.44 lb / 7.05 oz)
1417,Dimensions,90 x 62 x 22 mm (3.54 x 2.44 x 0.87″)
1418,Body type,Ultracompact
1418,Max resolution,3264 x 2448
1418,Effective pixels,8 megapixels
1418,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1418,Sensor type,CCD
1418,ISO,"Auto, 50, 100, 200, 400, 800, 1600 (3200 upto 3M)"
1418,Focal length (equiv.),38–114 mm
1418,Max aperture,F3.5–4.5
1418,Screen size,2.7″
1418,Screen dots,"230,000"
1418,Max shutter speed,1/2000 sec
1418,Storage types,"SD/SDHC card, Internal"
1418,USB,USB 2.0 (480 Mbit/sec)
1418,Weight (inc. batteries),146 g (0.32 lb / 5.15 oz)
1418,Dimensions,91 x 58 x 20 mm (3.58 x 2.28 x 0.79″)
1419,Body type,Ultracompact
1419,Max resolution,3264 x 2448
1419,Effective pixels,8 megapixels
1419,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1419,Sensor type,CCD
1419,ISO,"Auto, 80, 100, 200, 400, 800, 1600"
1419,Focal length (equiv.),37–111 mm
1419,Max aperture,F2.8–5.2
1419,Screen size,2.5″
1419,Screen dots,"230,000"
1419,Max shutter speed,1/1500 sec
1419,Storage types,"SD/MMC/SDHC card, Internal"
1419,USB,USB 1.0 (1.5 Mbit/sec)
1419,Weight (inc. batteries),154 g (0.34 lb / 5.43 oz)
1419,Dimensions,88 x 56 x 20 mm (3.46 x 2.2 x 0.79″)
1420,Body type,Ultracompact
1420,Max resolution,3264 x 2448
1420,Effective pixels,8 megapixels
1420,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1420,Sensor type,CCD
1420,ISO,"Auto, 80, 100, 200, 400, 800, 1600"
1420,Focal length (equiv.),37–111 mm
1420,Max aperture,F2.8–5.2
1420,Screen size,2.5″
1420,Screen dots,"230,000"
1420,Max shutter speed,1/1500 sec
1420,Storage types,"SD/MMC/SDHC card, Internal"
1420,USB,USB 2.0 (480 Mbit/sec)
1420,Weight (inc. batteries),154 g (0.34 lb / 5.43 oz)
1420,Dimensions,88 x 56 x 20 mm (3.46 x 2.2 x 0.79″)
1421,Body type,Ultracompact
1421,Max resolution,3648 x 2736
1421,Effective pixels,10 megapixels
1421,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1421,Sensor type,CCD
1421,ISO,"Auto, 80, 100, 200, 400, 800, 1600"
1421,Focal length (equiv.),37–111 mm
1421,Max aperture,F2.8–5.2
1421,Screen size,2.5″
1421,Screen dots,"230,000"
1421,Max shutter speed,1/1500 sec
1421,Storage types,"SD/MMC/SDHC card, Internal"
1421,USB,USB 2.0 (480 Mbit/sec)
1421,Weight (inc. batteries),154 g (0.34 lb / 5.43 oz)
1421,Dimensions,88 x 56 x 20 mm (3.46 x 2.2 x 0.79″)
1422,Body type,Ultracompact
1422,Max resolution,3264 x 2448
1422,Effective pixels,8 megapixels
1422,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1422,Sensor type,CCD
1422,ISO,"Auto, 80, 100, 200, 400, 800, 1600, 3200"
1422,Focal length (equiv.),38–114 mm
1422,Max aperture,F3.5–4.5
1422,Screen size,2.5″
1422,Screen dots,"230,000"
1422,Max shutter speed,1/2000 sec
1422,Storage types,"SD/MMC/SDHC card, Internal"
1422,USB,USB 2.0 (480 Mbit/sec)
1422,Weight (inc. batteries),180 g (0.40 lb / 6.35 oz)
1422,Dimensions,95 x 57 x 18 mm (3.74 x 2.24 x 0.71″)
1423,Body type,Compact
1423,Max resolution,3648 x 2736
1423,Effective pixels,10 megapixels
1423,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
1423,Sensor type,CCD
1423,ISO,"Auto, 80, 100, 200, 400, 800, 1600, (3200 at 3MP)"
1423,Focal length (equiv.),24–86.5 mm
1423,Max aperture,F2.8–5.9
1423,Screen size,2.5″
1423,Screen dots,"230,000"
1423,Max shutter speed,1/2000 sec
1423,Storage types,"SD/MMC/SDHC card, Internal"
1423,USB,USB 2.0 (480 Mbit/sec)
1423,Weight (inc. batteries),195 g (0.43 lb / 6.88 oz)
1423,Dimensions,99 x 61 x 19 mm (3.9 x 2.4 x 0.75″)
1424,Body type,Compact
1424,Max resolution,3264 x 2448
1424,Effective pixels,8 megapixels
1424,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1424,Sensor type,CCD
1424,ISO,"Auto, 80, 100, 200, 400, 800, 1600, 3200"
1424,Focal length (equiv.),37–111 mm
1424,Max aperture,F2.8–5.2
1424,Screen size,2.5″
1424,Screen dots,"230,000"
1424,Max shutter speed,1/1500 sec
1424,Storage types,"SD/MMC/SDHC card, Internal"
1424,USB,USB 2.0 (480 Mbit/sec)
1424,Weight (inc. batteries),173 g (0.38 lb / 6.10 oz)
1424,Dimensions,95 x 59 x 19 mm (3.74 x 2.32 x 0.75″)
1425,Body type,Compact
1425,Max resolution,3648 x 2736
1425,Effective pixels,11 megapixels
1425,Sensor size,"1/2.33"" (6.08 x 4.56 mm)"
1425,Sensor type,CCD
1425,ISO,"Auto, 80, 100, 200, 400, 800, 1600, 3200"
1425,Focal length (equiv.),37–111 mm
1425,Max aperture,F2.8–5.2
1425,Screen size,2.5″
1425,Screen dots,"230,000"
1425,Max shutter speed,1/1500 sec
1425,Storage types,SD/MMC/SDHC card
1425,USB,USB 2.0 (480 Mbit/sec)
1425,Dimensions,95 x 59 x 19 mm (3.74 x 2.32 x 0.75″)
