ID,Attribute,Value
15,Articulated LCD,Tilting
15,Screen size,3″
15,Screen dots,"1,840,000"
15,Max shutter speed,1/8000 sec
15,Format,"H.264, H.265"
15,Storage types,2x UHS-II SD
15,USB,USB 3.2 Gen 2 (10 GBit/sec)
15,Weight (inc. batteries),557 g (1.23 lb / 19.65 oz)
15,Dimensions,130 x 91 x 64 mm (5.12 x 3.58 x 2.52″)
15,GPS,None
16,Effective pixels,24 megapixels
16,Sensor size,Full frame (36 x 24 mm)
16,Sensor type,CMOS
16,ISO,"Yes, 100-102400 (expands to 204800)"
16,Lens mount,Canon RF
16,Focal length mult.,1×
16,Articulated LCD,Fully articulated
16,Screen size,3″
16,Screen dots,"1,620,000"
16,Max shutter speed,1/8000 sec
16,Format,"MPEG-4, H.264, H.265"
16,Storage types,Dual SD slots (UHS-II)
16,USB,USB 3.2 Gen 2 (10 GBit/sec)
16,Weight (inc. batteries),670 g (1.48 lb / 23.63 oz)
16,Dimensions,138 x 98 x 88 mm (5.43 x 3.86 x 3.46″)
16,GPS,None
17,Body type,SLR-style mirrorless
17,Max resolution,9504 x 6336
17,Effective pixels,60 megapixels
17,Sensor size,Full frame (35.7 x 23.8 mm)
17,Sensor type,BSI-CMOS
17,ISO,"Auto, ISO 100-32000 (expands to 50-102400)"
17,Lens mount,Sony E
17,Focal length mult.,1×
17,Articulated LCD,Tilting
17,Screen size,3.2″
17,Screen dots,"2,100,000"
17,Max shutter speed,1/8000 sec
17,Format,"MPEG-4, XAVC S, XAVC HS, XAVC S-I, H.264, H.265"
17,Storage types,Dual UHS-II SD/CFexpress Type A slots
17,USB,USB 3.2 Gen 2 (10 GBit/sec)
17,Weight (inc. batteries),723 g (1.59 lb / 25.50 oz)
17,Dimensions,131 x 97 x 82 mm (5.16 x 3.82 x 3.23″)
17,GPS,None
18,Body type,SLR-style mirrorless
18,Max resolution,5184 x 3888
18,Effective pixels,20 megapixels
18,Sensor size,Four Thirds (17.4 x 13 mm)
18,Sensor type,CMOS
18,ISO,"Auto, 200-25600, expands to 64-25600"
18,Lens mount,Micro Four Thirds
18,Focal length mult.,2×
18,Articulated LCD,Fully articulated
18,Screen size,3″
18,Screen dots,"1,040,000"
18,Max shutter speed,1/8000 sec
18,Format,"MPEG-4, H.264"
18,Storage types,SD/SDHC/SDXC (UHS-II supported)
18,USB,USB 2.0 (480 Mbit/sec)
18,Weight (inc. batteries),414 g (0.91 lb / 14.60 oz)
18,Dimensions,125 x 85 x 50 mm (4.92 x 3.35 x 1.97″)
18,GPS,None
19,Body type,Compact
19,Effective pixels,20 megapixels
19,Sensor size,1″ (13.2 x 8.8 mm)
19,Sensor type,BSI-CMOS
19,Focal length (equiv.),22 mm
19,Max aperture,F2–22
19,Focal length mult.,2.72×
19,Articulated LCD,Fully articulated
19,Screen size,3″
19,Format,"XAVC S, H.264"
19,Storage types,SD-HC (UHS-I)
19,USB,USB 3.0 (5 GBit/sec)
19,Weight (inc. batteries),256 g (0.56 lb / 9.03 oz)
19,Dimensions,106 x 60 x 46 mm (4.17 x 2.36 x 1.81″)
19,GPS,None
20,Body type,Rangefinder-style mirrorless
20,Max resolution,6192 x 4128
20,Effective pixels,26 megapixels
20,Sensor size,APS-C (23.4 x 15.6 mm)
20,Sensor type,BSI-CMOS
20,ISO,100-32000
20,Lens mount,Sony E
20,Focal length mult.,1.5×
20,Screen size,3″
20,Max shutter speed,1/8000 sec
20,Format,"XAVC S, XAVC HS, XAVC S-I, H.264, H.265"
20,Storage types,Dual SD/CFexpress Type A slots
20,USB,USB 3.2 Gen 1 (5 GBit/sec)
20,Weight (inc. batteries),646 g (1.42 lb / 22.79 oz)
20,Dimensions,78 x 130 x 85 mm (3.07 x 5.12 x 3.35″)
21,Body type,SLR-style mirrorless
21,Max resolution,7728 x 5152
21,Effective pixels,40 megapixels
21,Sensor size,APS-C (23.5 x 15.6 mm)
21,Sensor type,BSI-CMOS
21,ISO,"Auto, 125-12800 (expands to 80-51200)"
21,Lens mount,Fujifilm X
21,Focal length mult.,1.5×
21,Articulated LCD,Fully articulated
21,Screen size,3″
21,Screen dots,"1,620,000"
21,Max shutter speed,1/8000 sec
21,Format,"H.264, H.265"
21,Storage types,"1x CFexpress Type B, 1x UHS-II SD"
21,USB,USB 3.2 Gen 2 (10 GBit/sec)
21,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
21,Dimensions,136 x 93 x 95 mm (5.35 x 3.66 x 3.74″)
21,GPS,None
22,Body type,SLR-style mirrorless
22,Max resolution,11656 x 8742
22,Effective pixels,100 megapixels
22,Sensor size,Medium format (44 x 33 mm)
22,Sensor type,BSI-CMOS
22,Lens mount,Hasselblad X
22,Focal length mult.,0.79×
22,Articulated LCD,Tilting
22,Screen size,3.6″
22,Max shutter speed,1/4000 sec
22,Storage types,CFexpress Type B
22,USB,USB 3.2 Gen 2 (10 GBit/sec)
22,Weight (inc. batteries),895 g (1.97 lb / 31.57 oz)
22,Dimensions,149 x 106 x 75 mm (5.85 x 4.17 x 2.93″)
23,Body type,Rangefinder-style mirrorless
23,Max resolution,5568 x 3712
23,Effective pixels,21 megapixels
23,Sensor size,APS-C (23.5 x 15.7 mm)
23,Sensor type,CMOS
23,ISO,"Auto, 100-51200 (expands to 204,800)"
23,Lens mount,Nikon Z
23,Focal length mult.,1.5×
23,Articulated LCD,Fully articulated
23,Screen size,3″
23,Screen dots,"1,040,000"
23,Max shutter speed,1/4000 sec
23,Format,"MPEG-4, H.264"
23,Storage types,SD/SDHC/SDXC card (UHS-I supported)
23,USB,USB 3.2 Gen 1 (5 GBit/sec)
23,Weight (inc. batteries),405 g (0.89 lb / 14.29 oz)
23,Dimensions,128 x 74 x 60 mm (5.04 x 2.91 x 2.36″)
23,GPS,None
24,Body type,SLR-style mirrorless
24,Max resolution,6240 x 4160
24,Effective pixels,26 megapixels
24,Sensor size,APS-C (23.5 x 15.6 mm)
24,Sensor type,Stacked CMOS
24,ISO,"Auto, 160-12800 (expands to 80-51200)"
24,Lens mount,Fujifilm X
24,Focal length mult.,1.5×
24,Articulated LCD,Fully articulated
24,Screen size,3″
24,Screen dots,"1,620,000"
24,Max shutter speed,1/8000 sec
24,Format,"MPEG-4, H.264, H.265"
24,Storage types,"1x CFexpress Type B, 1x UHS-II SD"
24,USB,USB 3.2 Gen 2 (10 GBit/sec)
24,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
24,Dimensions,136 x 93 x 95 mm (5.35 x 3.66 x 3.74″)
24,GPS,None
25,Body type,SLR-style mirrorless
25,Max resolution,6960 x 4640
25,Effective pixels,33 megapixels
25,Sensor size,APS-C (22.2 x 14.8 mm)
25,Sensor type,CMOS
25,ISO,100-32000
25,Lens mount,Canon RF
25,Articulated LCD,Fully articulated
25,Screen size,3″
25,Max shutter speed,1/8000 sec
25,Storage types,2 x UHS-II SD card slot
25,USB,USB 3.2 Gen 2 (10 GBit/sec)
25,Weight (inc. batteries),612 g (1.35 lb / 21.59 oz)
25,Dimensions,132 x 90 x 92 mm (5.2 x 3.54 x 3.62″)
25,GPS,None
26,Body type,SLR-style mirrorless
26,Max resolution,6000 x 4000
26,Effective pixels,24 megapixels
26,Sensor size,APS-C (22.2 x 14.8 mm)
26,Sensor type,CMOS
26,ISO,100-32000
26,Lens mount,Canon RF
26,Articulated LCD,Fully articulated
26,Screen size,3″
26,Max shutter speed,1/4000 sec
26,Format,MPEG-4
26,Storage types,Single UHS-II SD card slot
26,USB,USB 2.0 (480 Mbit/sec)
26,Weight (inc. batteries),426 g (0.94 lb / 15.03 oz)
26,Dimensions,123 x 88 x 83 mm (4.84 x 3.46 x 3.27″)
26,GPS,None
27,Body type,SLR-style mirrorless
27,Max resolution,5776 x 4336
27,Effective pixels,25 megapixels
27,Sensor size,Four Thirds (17.3 x 13 mm)
27,Sensor type,CMOS
27,ISO,100-25600
27,Lens mount,Micro Four Thirds
27,Focal length mult.,2×
27,Articulated LCD,Fully articulated
27,Screen size,3″
27,Max shutter speed,1/8000 sec
27,Format,"MPEG-4, H.264, H.265"
27,Storage types,"CFexpress Type B, SD (UHS-II)"
27,USB,USB 3.2 Gen 2 (10 GBit/sec)
27,Weight (inc. batteries),823 g (1.81 lb / 29.03 oz)
